start	end	text
0	8000	Alô, estou me ouvindo bem?
8000	10000	Choc!
10000	18000	Bom, então vamos lá pessoal, eu vou estar falando sobre Cloud com um Delphi, né?
18000	21000	Descomplicando, mostrando mais a parte prática da Cloud.
21000	25000	Deixa eu soltar aqui pro editor.
25000	29000	Certo, o que que eu vou estar abordando aqui hoje, né?
29000	37000	A gente vai estar vendo os monolitos, os microserviços, o que são as fases, as funções, as services, algumas arquiteturas.
37000	41000	O que que é o Google Cloud Platform, o GCP?
41000	43000	Vamos estar falando bem sobre o Cinto, sobre Docker.
43000	46000	Aí vamos entrar um pouco na parte prática.
46000	53000	Tem os contatos ali no final e vou abrir o espaço de dúvidas também no final.
53000	56000	Certo, pra quem não me conhece, eu sou o Daniel Fernandes.
56000	58000	Sou do Ovidor Senor aqui da AQUA.
58000	61000	Tenho mais de sete anos de experiência com o Delphi.
61000	65000	Sou graduado em gestão da TI pela FATEC de Braga São Paulo Lista.
65000	68000	Sou pós-graduado também em geria de software pela estácio.
68000	71000	Sou o criador do Dinos Devs no Instagram.
71000	77000	Fiz um componente que me levou pra conference no ano passado, que é o LibreOffice pra Delphi, que é o Dinos Offices.
77000	85000	E fui palestrante na DelphiCon de 2023, na conference do ano passado e desse ano também.
86000	88000	Certo, então vamos começar.
88000	90000	O que são os monolitos?
90000	95000	O monolito é uma arquitetura de software, onde todas as funcionalidades estão no local só.
95000	103000	Então aqui na representação do monolito, que a gente tem forma de pagamento, pedido, cadastro,
103000	108000	tudo numa única instância e essa instância, ela comunica com o único banco de dados.
108000	113000	E a interface de usuário consome essa instância do monolito.
113000	117000	Há alguns casos que a extensa do usuário está até dentro do monolito também.
119000	122000	E quais são as vantagens de se utilizar monolito?
122000	125000	É a simplicidade inicial na arquitetura.
125000	130000	Ele é bom pra criar MVPs, porque é bem fácil no começo do desenvolvimento.
130000	136000	A coisão da equipe de Devs, porque só utiliza uma única linguagem.
136000	142000	É simples pra fazer deploy na produção, porque ao atualizar um pedido,
142000	144000	você vai atualizar toda a instância dele.
144000	147000	Então você não tem que se preocupar com diversos serviços espalhados.
147000	151000	E é fácil pra debugar, porque toda regra de negócio está em um único local.
151000	157000	Tem até uma referência aqui do Martin Fowler, que ele fala pra se usar primeiro o monolito,
157000	159000	o monolito de first.
159000	163000	E nessa abordagem aqui que fala você para começar com o monolito.
163000	165000	Então há diversas discussões sobre...
165000	167000	Eu achei bem interessante o esporte dele.
169000	173000	E quais são os desafios dos monolitos?
173000	175000	Tudo está em um único local.
175000	179000	Então isso tem uma alta dependência,
179000	182000	que você não consegue mexer em uma única parte de seu software
182000	185000	sem afetar as demais camadas.
185000	190000	A alta dependência demora para um novo Devs habituar.
190000	193000	Então para aprender toda a regra de negócio,
193000	196000	você tem que entender o sistema como um todo,
196000	200000	uma boa parte dele para conseguir se habituar ao sistema.
200000	204000	As problemas de uma parte do software afeta ele como um todo.
204000	207000	Se você tem que atualizar um label ali no caixa,
207000	209000	você vai ter que atualizar todo o seu sistema,
209000	211000	só por conta de um leigo errado.
211000	215000	Abaixa a escalabilidade, justamente por isso,
215000	219000	você não consegue escalar também para ser reaproveitado.
219000	222000	Basos de dados normalmente são gigantes,
222000	225000	e utiliza-se uma única tecnologia.
227000	229000	E os microserviços?
229000	234000	Os microserviços veem entre aspas para resolver o problema do monolito.
234000	237000	Não estou aqui para definir monolito nem microserviços,
237000	240000	só colocando as abordagens aqui.
240000	245000	O microserviço também é um desenho de arquitetura de software,
245000	249000	onde são definidos conjuntos pequenos de serviços independentes,
249000	254000	cada um executa uma única funcionalidade específica.
254000	258000	E cada serviço é alpergado entre uma entidade.
258000	261000	Então aqui na representatividade dele,
261000	264000	a gente pegou aquele desenho do monolito
264000	266000	e passou ele para microserviços.
266000	268000	Então cada um ganha sua instância.
268000	272000	Aqui temos as vendas, os cadastros, os pedidos,
272000	276000	e cada monolito conversa agora com o seu próprio banco de dados.
276000	280000	Cada microserviço comunica-se com o seu próprio banco de dados.
284000	286000	E quais as vantagens?
286000	288000	Quando utilizarem os monolitos,
288000	291000	aqui tem uma outra representatividade dele.
291000	293000	É uma aplicação grande e complexa,
293000	296000	que precisa ser altamente escalada e dimensionada,
296000	300000	quando a aplicação possui muitos domínios e subdomínios,
300000	303000	e quando a necessidade de integração e implementação continua.
303000	306000	A gente vai ver um pouco mais a fundo esses tópicos também.
306000	310000	Aqui é um desenho de como a estrutura de um microserviço.
